variable,module,kind,assumption_level,formula_status,validation_status,hard_low,hard_high,expected_low,expected_high,range_note,review_priority,parameterizable_in_future,interpretation
ADH_water_retention_index,EndocrineStressAxisModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for ADH water retention index; empirical and scenario-dependent.
AKI_index,AKICRRTModule/FluidBalanceModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for AKI index; empirical and scenario-dependent.
CRP_proxy,InfectionAntimicrobialBasicModule,proxy,high,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,500.0,0.0,300.0,qualitative inflammatory biomarker proxy,standard,False,Proxy variable approximating CRP proxy; not equivalent to the bedside clinical measurement.
CRRT_UF_mL_h_effective,AKICRRTModule/FluidBalanceModule,effect_index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1000.0,0.0,250.0,effective CRRT ultrafiltration rate suggested by CRRT module,standard,False,Qualitative internal state for CRRT UF mL h effective; empirical and scenario-dependent.
CRRT_active_effective,AKICRRTModule/FluidBalanceModule,effect_index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for CRRT active effective; empirical and scenario-dependent.
CRRT_clearance_mod,AKICRRTModule/FluidBalanceModule,modifier,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,5.0,0.0,2.5,positive multiplicative modifier; not directly measured at bedside,standard,False,Multiplier used by downstream modules to express the qualitative effect of CRRT clearance mod; not a directly validated clinical endpoint.
GCS_proxy,NeuroFunctionalModule/ICPModule,proxy,high,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,3.0,15.0,3.0,15.0,qualitative GCS-like proxy; not a validated GCS score,high,True,Proxy variable approximating GCS proxy; not equivalent to the bedside clinical measurement.
HFOV_power_proxy,VentilatorModule,proxy,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,200.0,0.0,100.0,qualitative HFOV energy proxy; not conventional mechanical power,standard,False,Qualitative internal variable HFOV_power_proxy; added to the hardened public registry in v1.19.
ICP_alert,NeuroFunctionalModule/ICPModule,alert_flag,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Boolean alert flag for ICP alert; used for report/UI logic.
LDH_index,HematologyOxygenTransportModule,index,moderate,empirical_or_heuristic,internal plausibility only; not externally validated,0.0,1.0,0.0,1.0,"unitless qualitative score/index, expected to remain within 0-1",standard,False,Qualitative internal state for LDH index; empirical and scenario-dependent.
M6G_accumulation_proxy,Pharmacology/PainStressSedationModules,proxy,moderate,empirical_or_heuristic,requires expert review and/or external benchmark before scientific use,-1000.0,1000.0,-100.0,100.0,broad proxy range; interpret qualitatively only,high,True,Qualitative internal variable M6G_accumulation_proxy; added to the hardened public registry in v1.19.
